logo_width,logo_height,short_description,description,overview,tag_list,country_code,state_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,created_by,created_at,updated_at
401,54,,Technology Platform Company,"Wetpaint is a technology platform company that uses its proprietary state-of-the-art technology and expertise in social media to build and monetize audiences for digital publishers. Wetpaint?s own online property, Wetpaint Entertainment, an entertainment news site that attracts more than 12 million unique visitors monthly and has over 2 million Facebook fans, is a proof point to the company?s success in building and engaging audiences. Media companies can license Wetpaint?s platform which includes a dynamic playbook tailored to their individual needs and comprehensive training. Founded by Internet pioneer Ben Elowitz, and with offices in New York and Seattle, Wetpaint is backed by Accel Partners, the investors behind Facebook.","wiki, seattle, elowitz, media-industry, media-platform, social-distribution-system",USA,WA,Seattle,Seattle,,,,,1/10/2005,19/5/2008,3,39750000,5/9/2010,18/9/2013,5,17,initial-importer,25/5/2007 06:51:27,13/4/2013 03:29:00
186,85,,,"Flektor is a rich-media mash-up platform that enables consumers to create, remix and share photos and videos on the internet without the need for advanced video-editing skills or software.

Fox Interactive Media, a division of News Corporation, announced that it had completed the purchase of Flektor on May 30, 2007.  The estimated puchase price is $15-20 million.","flektor, photo, video",USA,CA,Culver City,Los Angeles,,,,,,,,,,,,6,initial-importer,31/5/2007 21:11:51,23/5/2008 23:23:14
107,34,,,"There.com is an online virtual world where anyone can explore, meet friends and play games. It was founded in 1998 by Will Harvey, a Stanford computer science Ph.D. and game developer, and Jeffrey Ventrella, an expert on artificial life from MIT's Media Lab. The duo raised approximately $37 million - including $20 million from employees, $11 million from angel investors and $6 million from Sutter Hill Ventures. In 2005 the company was spun off under Makena Technologies, and in March 2010 There closed to the public. In May 2011, There announced it would reopen as a 18+ Cloud-based service. As of Nov 2013, There is open.

There.com is a subscription service with a monthly fee of $10.00. Additional in-game accessories can be purchased for separate fees.

Other online virtual worlds include [Kaneva](http://www.crunchbase.com/company/kaneva), [Second Life](http://www.crunchbase.com/company/secondlife) and [Cyworld](http://www.crunchbase.com/company/cyworld).","virtualworld, there, teens",USA,CA,San Mateo,SF Bay,,,,,,,,,1/2/2003,23/9/2011,4,12,initial-importer,6/8/2007 23:52:45,4/11/2013 02:09:48
,,,,"BRAND NEW ONLINE SOCIAL NETWORKING WEBSITE,FOR MAKING NEW FRIENDS OR CHATTING TO OLD ONE'S.

PACKED WITH NEW FEATURES SUCH AS RATING PROFILES , RATING MUSIC,VIDEO'S AND PICTURES ,UPLOADING MUSIC ,VIDEO'S PICTURES , CREATING CLASSIFIED ADS ,SHOUTOUT BOX!, AND ONLINE CHAT AREA FOR MAKING NEW FRIENDS OR SIMPLY CHATTING TO YOUR OLD ONE'S ,THERE ARE LOADS OF GREAT FEATURES FOR ANYONE TO TRY .. PLUS MANY MORE TO COME .","social-network, new, website, web, friends, chat, people",,,,unknown,,,,,,,,,,,,,,24/8/2008 16:51:57,6/9/2008 14:19:18
200,74,,,"This company shows free movies online on their website which, in fact, is not illegal since they are not the ones hosting the videos.","watch, full-length, moives, online, for, free, streaming, videos, tv-shows",,,,unknown,,,,,,,,,,,,,,24/8/2008 17:10:34,6/9/2008 14:19:18
284,48,,,"Synergie Media is a Dutch and Moroccan Web Design company that specializes in website design, website development, database programming, and search engine optimization (SEO). 

Synergie Media also builds functional social media applications (Facebook, OpenSocial, Myspace,...)","social-media, web-design, web-development, outsourcing, web-agency, nearshoring, morocco, africa, online-advertising, seo, agadir, interactive-agency, cms, content-management-system, offshoring, blog, maroc, france, belgique, the-netherlands, netherlands,",MAR,,Agadir,Agadir,,,,,,,,,,,,2,,24/8/2008 17:39:10,6/9/2008 14:19:19
,,,,"Creating infrastructure to provide incentives for usage of alternative energy and carbon credit aggregation service.

Green Basti Ecosystems is headquartered in Vadodara, India and is creating the ecosystem to drive adoption of alternative energy, initially in rural India.

Currently, Green Basti is focusing its efforts in driving adoption of biogas as an energy source in rural India and providing financial incentives to use alternative energy. This effort has multiple  objectives:

1. To bring cheaper energy source to the rural parts of India
2. Promote use of Biogas while driving down carbon emissions by reducing use of fossil fuels and burning of biomass (which introduces carbon in the atmosphere and reduces forestation)
3. Improve the condition of farmers in rural India by providing them secondary income from usage of alternative energy.","cleantech, alternative-energy, biogas, carbon-credit",IND,,Vadodara,Vadodara,,,,,,,,,,,,,,24/8/2008 19:49:25,22/4/2010 23:48:20
187,53,,,"At HostNine they are commited to continually evaluating and improving their product line and your services - ensuring that they?re always firmly ahead of the competition, and even more importantly, providing their clients with everything that they need to be successful.",,,,,unknown,,,,,,,,,20/6/2011,20/6/2011,1,1,,7/9/2011 00:53:17,20/12/2011 09:09:53
276,47,,Online Media,"For more than a century, Thomas Publishing has been bringing together industrial buyers and sellers global and nationally. For industrial buyers, ThomasNet.com is the one-stop destination that enables them to find the exact product, service or supplier they need, at the exact time they need it. Through ThomasNet.com, buyers also have instant access to the detailed information they need to make a purchasing or specifying decision, including line-item product details, supplier product catalogs, CAD drawings, and more. The site has more than 600,000 domestic suppliers in more than 70,000 categories, with 15,000 advertising customers. Its international counterpart, ThomasGlobal, has a database of more than a half million suppliers and supports nine different languages. The company also publishes more than a dozen industrial magazines and print products on four continents.",,USA,NY,New York,New York,,,,,,,,,1/6/1999,1/6/1999,1,2,,24/8/2008 20:21:21,19/11/2009 17:21:00
200,67,,SaaS Idea Management System,"Vetter is a web-based system that helps managers get more ideas from their team in one neat, weekly email.","saas, idea-management-system, innovation",,,,unknown,,,,,,,,,1/8/2011,1/8/2011,1,2,dmurtagh,7/9/2011 01:04:56,24/9/2011 13:13:18
200,65,,random video chat,"ChatRandom is a new Chatroulette Alternative with many more features.  Chatrandom differentiates itself from Chatroulette by providing users many video chat choices including multichat, girls chat, gay chat and chat rooms. ","chatroulette, video-chat, webcam-chat, chat-rooms",,,,unknown,,,,,,,,,9/4/2012,9/4/2012,1,,,7/9/2011 01:09:59,12/9/2011 04:14:57
576,432,,Sitio de citas para casados y casadas.,"ScapadasAmorosas.com es el primer sitio de citas en linea para mujeres casadas que buscan relaciones ocasionales discretas y hombres casados que buscan encuentros discretos.  En Scapadas Amorosas se reunen las los hombres casados,  hombres solteros, mujeres casadas personales y asuntos extramatrimoniales.","mujer-casada-busca, hombre-casado-busca, busco-mujer-casada, busco-hombre-casado, relaciones-casuales-discretas, trampas, asunto-extramatrimonial, casada-infiel, querida, discreta, sexo, infiel, discreto, hombre-generoso, hombres, mujeres",,,,unknown,,,,,,,,,,,,,,24/8/2008 21:48:16,2/4/2013 12:36:50
300,85,,,"dimension5 labs is a full service digital advertising agency focusing on building virtual worlds and web 2.0 software applications and helping others take advantage of the opportunities provided by the latest technology.

dimension5 provides graphic design, video and audio production, web production, programming, and marketing departments that work together to provide powerful solutions for clients.

The company also does in house projects, most notably the new virtual VirtualFamilyKingdom.","virtual-worlds, advertising-agency, complex-programming, web-design",USA,NM,Santa Fe,Santa Fe,,,,,,,,,22/8/2008,22/8/2008,1,2,,24/8/2008 21:54:55,21/12/2008 17:21:53
200,56,,Social network aggregator,"[FriendFeed](http://www.friendfeed.com) aims to be a one stop shop for all your social networking updates and news items.  The four founders were all team members at [Google](/company/google) and helped to launch such products as [Google Maps](/product/google-maps), [Adsense](/product/google-adsense), [GMail](/product/gmail) and [Google Groups](/product/google-groups).  They've brought their expertise to a slightly different area: social network aggregating.

FriendFeed is a service which, instead of layering a meta-network on top of all your other social networks, will create a news feed incorporating them all much like the [Facebook](/company/facebook) news feed.  

Users tell the feed which networks they belong to (Facebook, [Digg](/company/digg), [Last.fm](/company/last-fm) etc) and FriendFeed personalizes a data feed with info from each of the sites.

The company was [acquired by Facebook](http://www.techcrunch.com/2009/08/10/facebook-acquires-friendfeed) in August 2009.","socialnetwork, newsfeed, socialnetworkaggregator",USA,CA,Mountain View,SF Bay,,,,,26/2/2008,26/2/2008,1,5000000,1/5/2008,13/9/2012,3,14,initial-importer,1/10/2007 10:17:13,13/3/2013 21:44:15
150,54,,,"Whooligan is a new global soccer lifestyle brand created by social media. 

Whooligan uses the slogan ""Who's your side"" in an attempt to exploit global soccer rivalries and cultural identity. The Whooligan.com site is an interconnected network of forums, videos, photos, and special brand content. The company uses the site as a marketing vehicle for the brand to sell merchandise offline. They call their online/offline approach the Web 2.0. The site was launched in public beta in December 2008. 

Whooligan was started by two brothers dedicated to providing soccer fans from every walk of life a chance to support their side against rivals. Whooligan users will be able to build their own brand, effectively turning the traditional roles of the producer and consumer in the marketplace upside down.","videos, video, photo, photos, apparel, soccer, football, forums, web-2-0",,,,unknown,,,,,,,,,,,,1,,24/8/2008 22:10:04,28/6/2013 20:51:46
2367,810,,Poetry site,"Visual poetry, is poetry or art in which the visual arrangement of text, images and symbols is important in conveying the intended effect of the work. It is sometimes referred to as concrete poetry, a term that predates visual poetry, and at one time was synonymous with it. Wikiepedia.org.

PoetryVisualized.com intends to capitalize on the growing popularity of the poetry slam phenomenon as well as the general public's increasing interest in online video streaming, while addressing the public's desire for higher quality works of art in contrast to the great mass of unfiltered content made available from amateur contributors.

Phase one shall provide the public with the ability to upload and share visual poetry clips and to take part in the online community features offered by the PoetryVisualized.com website. Phase Two, to be launched shortly, shall provide advanced collaboration, creation and distribution features and tools and shall be combined with income sharing tools for site contributors. The patent pending ORCES technology shall, in part, support PoetryVisualized.com's efforts to be the leader in the arts community and online video applications.

Attorney Rod Underhill represents PoetryVisualized.com: a cofounder of MP3.com and the futurist who helped engineer their 6.9 billion dollar public offering.","poetry, publish, audio, video, film, visual, art, festival, rhyme",USA,CA,Julian,San Diego,,,,,,,,,1/1/2008,1/1/2008,1,3,,24/8/2008 22:21:46,3/4/2009 20:32:21
223,45,,,"moviestring.com provides a place for user to create mini movie reviews, follow their friends reviews and create a list of the movies they love. with several ways to access your reviews, including web, email, iphone app or fully API, moviestring.com provides users easy access to their entire review catalog.","movies, micro-reviews, micro-blogging",,,,unknown,,,,,,,,,,,,1,,24/8/2008 23:07:26,1/10/2010 00:12:22
300,89,,Image and Brand Consulting,,,,,,unknown,,,,,,,,,,,,2,,24/8/2008 23:23:00,3/4/2009 18:00:41
197,79,,iPhone Ad Exchange Provider,"Mobclix (www.mobclix.com) is the industry's largest mobile ad exchange network via its sophisticated open marketplace platform and comprehensive account management solution for iPhone application developers, advertisers, ad networks, and agencies. The Mobclix ad exchange provides complete transparency and visibility for developers to maximize revenues and advertisers to increase performance.

KEY BENEFITS FOR DEVELOPERS: 
-Highest eCPMs 
-Trouble-free management
-Size advantage
-Increase scale
-Improve performance

KEY BENEFITS FOR ADVERTISERS
-Precise targeting 
-Sophisticated bidding platform 
-Instant Mobile Reach 
-Create interactive campaigns

APPLICATION PLATFORM
Mobclix is a complete mobile application platform focused on: 
-Real-time application analytics that give you business insights into your application
-Yield optimization and rich media advertising
-Distribution and viral growth through social media

Mobclix is an ad exchange provider for [iPhone](/product/iphone) apps. Mobclix targets users based on location and the type of app to maximize the money that iPhone developers can make.
","techcrunch50, tc50, iphone, analytics, free-developer-tools, apple, xcode, interface-designer, shark, instruments, os-x, android, gps, free-real-time-analytics, apple-developer, cocoa, objective-c, 3g, att, edge, free-applications, seedcamp-2008, seedcamp",USA,CA,Palo Alto,SF Bay,,,,,1/9/2008,1/9/2008,1,,1/3/1995,18/9/2012,4,9,,25/8/2008 01:32:43,22/9/2012 03:36:21
2228,793,"Fitbit offers compact, wireless, wearable sensors that track a person?s daily activities in order to promote a healthy lifestyle.",,"Fitbit inspires people to exercise more, eat better and live
healthier lifestyles. 

The company is developing an ultra-compact wireless wearable sensor, called the Fitbit Tracker, that automatically tracks data about a person's activities, such as calories burned, sleep quality, steps and distance.

The Fitbit Tracker collects activity data automatically while it is
worn by the user all day. The collected data is wirelessly uploaded to
a website where the wearer can see their data and track their progress toward personal goals. The website provides a motivational interface where users can share their progress, compare themselves against similar people and work toward virtual goals with their friends, family and
co-workers. At the website, users can also manually log nutrition,
weight and other health information in order to gain a complete
picture of their health.

Fitbit makes it easy to achieve a healthy lifestyle by automating the
collection of health data and providing a motivating and entertaining
user interface.","techcrunch50, tc50, health, hardware, fitness, calories, weight-loss, dieting, fatsecret",USA,CA,San Francisco,SF Bay,,,,,10/10/2008,13/8/2013,5,68069200,,,,14,,25/8/2008 02:16:54,4/12/2013 09:52:42
150,50,,,MTPV Corporation is a clean energy company focus on innovations in Micron-gap ThermalPhotoVoltaics technology (MTPV). MTPV technology has been developed over the past 15 years beginning at MIT and Draper Laboratory and for the last 5 years in the labs of MTPV Corporation.,,USA,TX,Austin,Austin,,,,,8/3/2011,26/1/2012,3,10125293,1/1/2010,1/1/2010,1,6,arun,7/9/2011 02:01:00,10/4/2013 04:35:04
444,74,,,"Wholesale/retail Camcorder batteries, digital camera batteries and multi battery charger for digital camera camcorder battery distributor. High quality, low price, cheap, rechargeable camcorder batteries and battery charger. Full 1 year warranty and 30 days money back!","camcorder-batteries, batteries, digital-camera-batteries, battery-charger",,,,unknown,,,,,,,,,,,,,,25/8/2008 02:17:08,14/3/2009 14:41:42
128,128,,Online time tracking and invoicing,"Paydirt produces online time tracking and invoicing software for freelancers and small businesses.

Paydirt is focused on providing automated time tracking for browser-based freelancers. Chrome and Firefox addons are available for Paydirt which intelligently determine whether you are working for a client and provide a prompt to start tracking time for them.","time-tracking, invoicing, freelancing",AUS,,Abbotsford,Abbotsford,,,,,,,,,1/1/2011,1/1/2011,1,2,,7/9/2011 02:12:18,3/3/2012 08:14:35
262,131,,(W)real time web,"Wreally is an independent web application development studio specializing in elegant UI design and the real-time web. 

Wreally's portfolio includes:

1. Scribble - A dead-simple note-taking app on the Chrome WebStore
2. Pixza - A really real-time browser-based social strategy game. Pixza is among the few browser-based multi-player games that work on Apple's iPad.
3. Frelay - A QR-code-based mobile-survey platform for small businesses.","web-development, scribble, pixza, real-time-web, user-interface",,,,unknown,,,,,,,,,,,,2,jasonbosco,7/9/2011 02:17:14,24/9/2011 13:13:32
249,49,,,"Demandbase is the first targeting and personalization platform for B2B, transforming the effectiveness of marketing programs and marketing?s ability to impact revenue. Demandbase?s patented technology identifies and segments the companies visiting a website, providing detailed, targetable business attributes in real-time, and without the use of cookies. Demandbase platform modules include Company-Targeted Advertising, Website Personalization, B2B Analytics, and lead capture Form Optimization. The Demandbase platform integrates with other sales and marketing technologies to deliver unique intelligence about web visitors to make online interactions more effective and better attract, convert and retain the right customers. 

For more information, visit http://www.demandbase.com.",,USA,CA,San Francisco,SF Bay,,,,,25/8/2008,28/3/2013,3,33000000,18/5/2010,1/3/2013,3,19,jason,25/8/2008 03:35:42,23/10/2013 11:32:49
141,33,,Sync Gmail and Salesforce,"AirSpeed makes it easy to copy Emails, Contacts and Appointments from Google (Gmail and Google Apps) to Salesforce.

FREE 14-day trial. No credit card required.

 - Move emails, contacts and appointments from Google to Salesforce in a single click.

 - Design lets you continue using Gmail side bar plug-ins you love, like Rapportive

 - Team Edition lets Salesforce administrators centrally manage users and billing.

Works with Chrome, Firefox and Safari, and all editions of Salesforce. Contact us for Internet Explorer availability.","salesforce-com, google-apps, gmail, sync",USA,CA,San Francisco,SF Bay,,,,,,,,,,,,,,7/9/2011 02:18:41,13/12/2012 04:36:39
2200,400,,Mobile software developer,"Locatrix Communications is one of Australia?s most experienced and accomplished developers of mobile applications and services. With a heritage in telecommunications, social networking and mobile location-based services, Locatrix designs, develops and supports innovative mobile applications across all types of mobile handsets and technology platforms.
","mobile, location-based, wireless, applications, iphone, android, blackberry",AUS,,Brisbane,SF Bay,,,,,1/11/2003,1/11/2003,1,250000,1/11/2007,1/11/2007,1,2,mwhite41,7/9/2011 02:27:33,11/10/2013 09:51:41
,,,,,,,,,unknown,,,1,1,,,,,,,,,,25/8/2008 04:03:25,25/8/2008 16:26:39
134,58,,,"Diditz is a social media website where you can get popular by sharing your did-its: the coolest experiences and achievements of your life, and discover the incredible experiences of people from around the globe on topics that you are passionate about.  

So far, the only way to participate and interact with people sharing similar interests was through online groups, forums and communities. Someone having different interests has to manage different accounts, across different social networks, and more often than not, many such communities are segregated and require active participation for your content to be visible. 

The purpose of diditz is threefold: (1) To provide a simple interface where users can publish their own experiences and discover a community based on their interests and locations, without the hassle of joining different groups or forums. (2) Giving an opportunity for an average blogger to decide their audience, interact with them and get regular traffic for their best content, even if they publish it infrequently. (3) Create a collection of people's experiences for the most happening things around the world.	

Diditz can be browsed without signing up for an account, however having an account gives access to more content, networking options and ability to publish your own content.","social-network, social-media, aggregation, groups, communities",IND,,New Delhi,New Delhi,,,,,,,1,,,,,2,,25/8/2008 04:03:26,15/11/2013 20:27:51
,,,,,,,,,unknown,,,,,,,,,,,,,,7/9/2011 02:43:13,24/9/2011 13:14:04
876,154,,Sales Recruiting Firm ,"Betts Recruiting is a boutique recruiting firm that partners with the most innovative and rapidly growing Bay Area start-ups to build out their sales and marketing teams. The companies represented by Betts Recruiting signify the top bootstrapped, VC and Angel-backed startups in Silicon Valley, including a selection of the Wall Street Journal’s Top 50 Venture-Backed Companies of 2011.

They recruit top-notch talent in roles ranging from junior level to VP, in areas that include SaaS, software sales, online media sales, account management, client services, inside sales, outside sales, and entry level sales. At Betts, they understand that you are looking to hire A-Players to generate revenue and maintain your client base, so as a manager you and your company can achieve your goals. As a boutique agency, Betts Recruiting offers a customized approach to each search, ensuring you find the best candidate for each position you are looking to fill.

Since Carolyn Betts founded Betts Recruiting in late 2009, the recruiting agency has expanded its staff tremendously to serve over sixty SaaS and online media clients in San Francisco and nation-wide. 
","saas, recruiting, bay-area, sales",USA,NY,San Francisco,unknown,,,,,,,,,1/3/2009,1/3/2009,1,2,,7/9/2011 02:43:15,10/6/2013 20:26:20
120,120,,Crowdfunding platform for small business,"Fundable is a crowdfunding site for startups.

Fundable's platform takes advantage of the new JOBS Act, also known as the ""Crowdfunding Bill,"" which now allows startup companies to publicly raise money from anyone willing to back them. In addition, Fundable makes investing more accessible, providing two ways for backers to support companies?through rewards or equity.

Backers earn rewards such as product pre-orders, unique gifts, or special incentives by the companies' founders in exchange for pledging capital. For larger investments, startups may also offer equity in their companies.","fundraising, social, community",USA,OH,Powell,Columbus,27/12/2012,24/9/2013,3,3,,,,,1/4/2012,11/12/2013,4,3,,25/8/2008 04:04:26,3/12/2013 12:43:43
268,78,,Tutor Student Match,"iHireHelp is a website that connects students and clients who want to learn and seek help from people (tutors, instructors, coaches, trainers..) and companies (learning centers, businesses..) who can offer help.

A key goal for iHireHelp is to help its user community find a best person or a company who can help them with their needs.

This site is absolutely free for clients who are seeking help and people / businesses who are offering help.

People and businesses that offer help on iHireHelp will get a free personal website that that they can customize to promote their own personal brand. The site also provided them with powerful tools that will help them easily manage their student, collect reviews and accept payments from clients.

iHireHelp provides great transparency to students and clients by offering them clear information about the helpers including client reviews, teacher recommendations, pricing information, location, teacher qualifications, their connection and much more.

iHireHelp has a social network of clients, students, tutors, instructors, coaches, trainers learning centers, businesses etc and allows everyone to link and connect to find new partners who have similar interests and goals. This network also allows people and businesses to exchange helpful resources related to any subject or service offered on this website.
","tutors, instuctors, coaches-and-learning-centers",USA,NJ,,New Jersey - Other,,,,,16/4/2011,16/4/2011,1,100000,1/10/2010,1/10/2010,1,,ihirehelp,7/9/2011 02:57:58,10/11/2011 22:38:22
616,238,,,"LEAP Real Estate Systems, is an innovative Chicago-based technology company specializing in powerful solutions for top performing real estate agents and brokerages.  Products and services include: LeapRE? Software (www.leapre.com), PeekaCity (www.peekacity.com), Best Floorplans (www.bestfloorplans.com), and DotHome (www.dothome.info).   

LeapRE is a productivity and marketing platform for top performing real estate agents. It is designed for the real estate agent who has successfully built their real estate business and wants to bring it to the next level through better information and organization.

PeekaCity amenity mapping software is a web-based software package for producing neighborhood and amenity reports. PeekaCity's key features include up-to-date amenity information that are constantly updated from a variety of online resources, the ability to print out custom PDF reports using the amenities you choose, and the ability to embed the PeekaCity interactive map into your web site. 

DotHome is an advanced marketing platform that allows agents and brokers to make better decisions about their advertising dollars, resulting in significant cost savings.","real-estate, advertising, listings",USA,IL,Chicago,Chicago,,,,,,,,,,,,,,25/8/2008 05:05:34,28/6/2013 20:52:36
,,,Search engine marketing,"We provide an integrated approach to search friendly web design, search engine optimisation (SEO), and pay per click (PPC) management.",,AUS,,Langhrone Creek,Langhrone Creek,,,,,,,,,1/9/2004,1/9/2004,1,1,tonypfitzner,7/9/2011 02:58:41,24/9/2011 13:14:06
780,200,,Networking Event/Open Community Platform,"Mobile Monday Pasadena (MoMo Pasadena) is a monthly networking event and open community platform to explore the intersections of mobility and technology.

Through the gathering of mobile industry visionaries, developers, and influential individuals Mobile Monday holds monthly networking events to share ideas, demo products, and discuss trends from both local and global markets. Originating in Helsinki Finland, in 2000, events are organized by some 300 dedicated volunteers from around the world and it has become an industry leading mobile platform. Chapters have held events in over 100 cities worldwide and continue to launch new locations monthly.

About Mobile Monday Pasadena

Mobile Monday Pasadena (MoMo Pasadena) was started in June 2011 by Eli Calder?n Morin a young mobile start-up veteran in order to connect, share, reach out, and further foster a mobile start-up atmosphere within the historic city of Pasadena and its talented university, business, and technology communities.

Mobile Monday Pasadena (MoMo Pasadena) is an official chapter organized under permission by MobileMonday.net

Mission

Our mission at MoMo Pasadena is to jumpstart the local mobile industry here in Pasadena by facilitating connections between universities, investors, companies, and local talent: helping investors connect with new mobile startups, companies connect with new engineering talent, entrepreneurs with each other, and bring new students and professionals into the mobile industry

We look to connect individuals from all areas of technology and the mobile ecosystem, i.e., app developers, engineers, entrepreneurs, scientists, mobile professionals, marketing & advertising professionals, investors, angels, venture capital firms, and the local university organizations and resources.","mobile, ios, android, mobile-advertising, developers, vc, mobile-technology",USA,CA,Pasadena,Los Angeles,,,,,,,,,1/6/2010,1/6/2010,1,,elimorin,7/9/2011 02:59:22,26/10/2012 00:56:28
309,61,,,"Cardiosolutions was founded in 2006 by STD Med, Inc., a leading medical device manufacturer, in order to develop less invasive alternatives to open surgical procedures addressing the mitral valve of the heart.",,USA,MA,West Bridgewater,West Bridgewater,,,,,6/9/2011,10/7/2012,2,11300000,,,,2,timircha,7/9/2011 03:06:47,7/9/2011 03:10:29
442,81,,,"Floatopian is a developer of applications for the iPhone.  Quiztunes, the flagship application of Floatopian, is a game where the user hears a 20 second song clip and then must select the correct choice from a list of four similar artists.  ","iphone, iphone-application, game, music, pop-music",,,,unknown,,,,,,,,,,,,2,,25/8/2008 05:49:53,6/9/2008 14:19:32
141,68,,,"DeepFlex, Inc., a Houston-based manufacturer of all-composite flexible pipe used in subsea oil and gas production environments.",,USA,TX,Houston,Houston,,,,,6/9/2011,8/4/2013,2,,,,,4,arun,7/9/2011 03:09:59,26/11/2013 05:35:45
317,154,,Provides auto loans and car loans,"Nationwide Auto Lending is the name you can rely upon when it comes to auto loans. Enjoy the privilege of owning your dream car with speedy and hassle free online auto financing coordinated at Nationwide Auto Lending. We specialize in bad credit auto loans and bad credit auto financing in all 50 states with our local approval centers for auto loans.

Nationwide Auto Lending specializes in arranging fast and cheap auto loans as well as car loans for the residents of U.S. Our goal is to help people with bad credit, poor credit and bankruptcy find the affordable financing. We offer bad credit auto loans, auto financing after bankruptcy at the most competive rates and terms anywhere..","auto-loan, bad-credit-auto-loans, instant-auto-loans, used-auto-loans, new-auto-loans, poor-credit-auto-loans, low-interest-auto-loans, personal-auto-loans, low-rate-auto-loans, fast-auto-loans, auto-financing, bad-credit-auto-financing, auto-loan-applica",USA,NC,Charlotte,Charlotte,,,,,,,,,,,,,,25/8/2008 07:12:16,10/4/2013 06:05:55
,,,,Blend Biosciences Inc A Stealthy Waltham startup.,,,,,unknown,,,,,6/9/2011,6/9/2011,1,2800000,,,,1,timircha,7/9/2011 03:19:06,28/11/2011 02:18:20
250,89,,,"Wevod is a french company, based in Paris, that provides B2B online video plateform to simplify WebTV management.

In november 2006, Wevod launch a public video-mail portal : www.mailemotion.tv

Mailemotion is a free service made for everyone to send videos via email. Mailemotion is accessible form anywhere on the internet at the address : www.mailemotion.tv. It does not require any software installation and is compatible on all existing platforms. Simple and intuitive, the video could be either taken from from a webcam (or any kind of video device such as a mobile phone), or from a file already stored on the user's computer (any kind of video type as it will be converted).

Mailemotion is also provided in white-branded platform.","video, webtv, video-mail, communication, publishing, broadcasting, podcast",FRA,,Paris,Paris,,,,,1/2/2007,1/10/2007,2,414840,,,,2,,25/8/2008 09:02:09,28/6/2013 20:52:47
